,Unnamed: 0_x,date,country,id,start,end,severity,status,location,service_name,number_affected_products,city,Unnamed: 0_y,Start Date,End Date,Geo Locations,Disaster Type,Total Damages,Total Deaths,Total Affected
0,0,2022-09-15,Taiwan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east1,Google Kubernetes Engine,1.0,Changhua County,106,,,,,,,
1,1,2022-09-15,Hong Kong,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east2,Google Kubernetes Engine,1.0,Hong Kong,125,,,,,,,
2,2,2022-09-15,Japan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast1,Google Kubernetes Engine,1.0,Tokyo,49,,,,,,,
3,3,2022-09-15,South Korea,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast3,Google Kubernetes Engine,1.0,Seoul,98,,,,,,,
4,4,2022-09-15,India,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-south1,Google Kubernetes Engine,1.0,Mumbai,48,2022-05-17,2022-10-31,"Arunachal Pradesh, Bihar, Gujarat, Himachal Pradesh, Madhya Pradesh, Maharashtra, Nagaland (Adm1). Cachar, East Khasi Hills, Ri-Bhoi (Adm2). ",Flood,4200000.0,2035.0,1301260.0
5,5,2022-09-15,Singapore,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast1,Google Kubernetes Engine,1.0,Jurong West,162,,,,,,,
6,6,2022-09-15,Indonesia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast2,Google Kubernetes Engine,1.0,Jakarta,64,,,,,,,
7,7,2022-09-15,Australia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,australia-southeast1,Google Kubernetes Engine,1.0,Sydney,6,,,,,,,
8,8,2022-09-15,Poland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-central2,Google Kubernetes Engine,1.0,Warsaw,86,,,,,,,
9,9,2022-09-15,Finland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-north1,Google Kubernetes Engine,1.0,Hamina,196,,,,,,,
10,10,2022-09-15,Spain,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-southwest1,Google Kubernetes Engine,1.0,Madrid,33,,,,,,,
11,11,2022-09-15,Belgium,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west1,Google Kubernetes Engine,1.0,St. Ghislain,23,,,,,,,
12,12,2022-09-15,Germany,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west3,Google Kubernetes Engine,1.0,Frankfurt,45,,,,,,,
13,13,2022-09-15,Italy,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west8,Google Kubernetes Engine,1.0,Milan,56,,,,,,,
14,14,2022-09-15,United Kingdom,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west2,Google Kubernetes Engine,1.0,London,20,,,,,,,
15,15,2022-09-15,Netherlands,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west4,Google Kubernetes Engine,1.0,Eemshaven,96,,,,,,,
16,16,2022-09-15,Switzerland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west6,Google Kubernetes Engine,1.0,Zurich,132,,,,,,,
17,17,2022-09-15,France,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west9,Google Kubernetes Engine,1.0,Paris,34,,,,,,,
18,18,2022-09-15,Katar,,,,,,,,,,157,,,,,,,
19,19,2022-09-15,Israel,,,,,,,,,,74,,,,,,,
20,20,2022-09-15,Canada,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,northamerica-northeast1,Google Kubernetes Engine,1.0,Montréal,28,,,,,,,
21,21,2022-09-15,Brazil,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-east1,Google Kubernetes Engine,1.0,São Paulo,16,,,,,,,
22,22,2022-09-15,Chile,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-west1,Google Kubernetes Engine,1.0,Santiago,4,,,,,,,
23,23,2022-09-15,USA,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,us-central1,Google Kubernetes Engine,1.0,Council Bluffs,102,,,,,,,
24,28,2022-09-16,Taiwan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east1,Google Kubernetes Engine,1.0,Changhua County,307,,,,,,,
25,29,2022-09-16,Hong Kong,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east2,Google Kubernetes Engine,1.0,Hong Kong,326,,,,,,,
26,30,2022-09-16,Japan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast1,Google Kubernetes Engine,1.0,Tokyo,250,,,,,,,
27,31,2022-09-16,South Korea,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast3,Google Kubernetes Engine,1.0,Seoul,299,,,,,,,
28,32,2022-09-16,India,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-south1,Google Kubernetes Engine,1.0,Mumbai,249,2022-05-17,2022-10-31,"Arunachal Pradesh, Bihar, Gujarat, Himachal Pradesh, Madhya Pradesh, Maharashtra, Nagaland (Adm1). Cachar, East Khasi Hills, Ri-Bhoi (Adm2). ",Flood,4200000.0,2035.0,1301260.0
29,33,2022-09-16,Singapore,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast1,Google Kubernetes Engine,1.0,Jurong West,363,,,,,,,
30,34,2022-09-16,Indonesia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast2,Google Kubernetes Engine,1.0,Jakarta,265,,,,,,,
31,35,2022-09-16,Australia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,australia-southeast1,Google Kubernetes Engine,1.0,Sydney,207,,,,,,,
32,36,2022-09-16,Poland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-central2,Google Kubernetes Engine,1.0,Warsaw,287,,,,,,,
33,37,2022-09-16,Finland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-north1,Google Kubernetes Engine,1.0,Hamina,397,,,,,,,
34,38,2022-09-16,Spain,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-southwest1,Google Kubernetes Engine,1.0,Madrid,234,,,,,,,
35,39,2022-09-16,Belgium,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west1,Google Kubernetes Engine,1.0,St. Ghislain,224,,,,,,,
36,40,2022-09-16,Germany,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west3,Google Kubernetes Engine,1.0,Frankfurt,246,,,,,,,
37,41,2022-09-16,Italy,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west8,Google Kubernetes Engine,1.0,Milan,257,,,,,,,
38,42,2022-09-16,United Kingdom,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west2,Google Kubernetes Engine,1.0,London,221,,,,,,,
39,43,2022-09-16,Netherlands,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west4,Google Kubernetes Engine,1.0,Eemshaven,297,,,,,,,
40,44,2022-09-16,Switzerland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west6,Google Kubernetes Engine,1.0,Zurich,333,,,,,,,
41,45,2022-09-16,France,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west9,Google Kubernetes Engine,1.0,Paris,235,,,,,,,
42,46,2022-09-16,Katar,,,,,,,,,,358,,,,,,,
43,47,2022-09-16,Israel,,,,,,,,,,275,,,,,,,
44,48,2022-09-16,Canada,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,northamerica-northeast1,Google Kubernetes Engine,1.0,Montréal,229,,,,,,,
45,49,2022-09-16,Brazil,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-east1,Google Kubernetes Engine,1.0,São Paulo,217,,,,,,,
46,50,2022-09-16,Chile,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-west1,Google Kubernetes Engine,1.0,Santiago,205,,,,,,,
47,51,2022-09-16,USA,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,us-central1,Google Kubernetes Engine,1.0,Council Bluffs,303,,,,,,,
48,56,2022-09-17,Taiwan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east1,Google Kubernetes Engine,1.0,Changhua County,508,,,,,,,
49,57,2022-09-17,Hong Kong,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east2,Google Kubernetes Engine,1.0,Hong Kong,527,,,,,,,
50,58,2022-09-17,Japan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast1,Google Kubernetes Engine,1.0,Tokyo,451,,,,,,,
51,59,2022-09-17,South Korea,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast3,Google Kubernetes Engine,1.0,Seoul,500,,,,,,,
52,60,2022-09-17,India,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-south1,Google Kubernetes Engine,1.0,Mumbai,450,2022-05-17,2022-10-31,"Arunachal Pradesh, Bihar, Gujarat, Himachal Pradesh, Madhya Pradesh, Maharashtra, Nagaland (Adm1). Cachar, East Khasi Hills, Ri-Bhoi (Adm2). ",Flood,4200000.0,2035.0,1301260.0
53,61,2022-09-17,Singapore,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast1,Google Kubernetes Engine,1.0,Jurong West,564,,,,,,,
54,62,2022-09-17,Indonesia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast2,Google Kubernetes Engine,1.0,Jakarta,466,,,,,,,
55,63,2022-09-17,Australia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,australia-southeast1,Google Kubernetes Engine,1.0,Sydney,408,,,,,,,
56,64,2022-09-17,Poland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-central2,Google Kubernetes Engine,1.0,Warsaw,488,,,,,,,
57,65,2022-09-17,Finland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-north1,Google Kubernetes Engine,1.0,Hamina,598,,,,,,,
58,66,2022-09-17,Spain,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-southwest1,Google Kubernetes Engine,1.0,Madrid,435,,,,,,,
59,67,2022-09-17,Belgium,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west1,Google Kubernetes Engine,1.0,St. Ghislain,425,,,,,,,
60,68,2022-09-17,Germany,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west3,Google Kubernetes Engine,1.0,Frankfurt,447,,,,,,,
61,69,2022-09-17,Italy,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west8,Google Kubernetes Engine,1.0,Milan,458,,,,,,,
62,70,2022-09-17,United Kingdom,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west2,Google Kubernetes Engine,1.0,London,422,,,,,,,
63,71,2022-09-17,Netherlands,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west4,Google Kubernetes Engine,1.0,Eemshaven,498,,,,,,,
64,72,2022-09-17,Switzerland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west6,Google Kubernetes Engine,1.0,Zurich,534,,,,,,,
65,73,2022-09-17,France,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west9,Google Kubernetes Engine,1.0,Paris,436,,,,,,,
66,74,2022-09-17,Katar,,,,,,,,,,559,,,,,,,
67,75,2022-09-17,Israel,,,,,,,,,,476,,,,,,,
68,76,2022-09-17,Canada,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,northamerica-northeast1,Google Kubernetes Engine,1.0,Montréal,430,,,,,,,
69,77,2022-09-17,Brazil,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-east1,Google Kubernetes Engine,1.0,São Paulo,418,,,,,,,
70,78,2022-09-17,Chile,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-west1,Google Kubernetes Engine,1.0,Santiago,406,,,,,,,
71,79,2022-09-17,USA,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,us-central1,Google Kubernetes Engine,1.0,Council Bluffs,504,,,,,,,
