,date,Country,Start Date,End Date,Geo Locations,Disaster Type,Total Damages,Total Deaths,Total Affected
0,2022-09-15,China,,,,,,,
1,2022-09-15,Dominica,,,,,,,
2,2022-09-15,Bangladesh,2022-05-17,2022-09-30,"Bogra, Gaibandha, Jamalpur, Kurigram, Lalmonirhat, Madaripur, Nilphamari, Shariatpur, Sirajganj (Adm2). ",Flood,462500.0,141.0,7200000.0
3,2022-09-15,Afghanistan,,,,,,,
4,2022-09-15,Chile,,,,,,,
5,2022-09-15,Egypt,,,,,,,
6,2022-09-15,Australia,,,,,,,
7,2022-09-15,Bahamas (the),,,,,,,
8,2022-09-15,Angola,,,,,,,
9,2022-09-15,Albania,,,,,,,
10,2022-09-15,Côte d’Ivoire,,,,,,,
11,2022-09-15,Colombia,2022-08-27,2022-10-18,"Caimito, Guaranda, Majagual (Adm2). ",Flood,,,167250.0
12,2022-09-15,Costa Rica,,,,,,,
13,2022-09-15,Ecuador,,,,,,,
14,2022-09-15,Georgia,,,,,,,
15,2022-09-15,Burkina Faso,,,,,,,
16,2022-09-15,Brazil,,,,,,,
17,2022-09-15,Cuba,,,,,,,
18,2022-09-15,Argentina,,,,,,,
19,2022-09-15,Central African Republic,2022-07-01,2022-10-31,"Bangui, Lobaye, Ouaka, Ouham-Pendé (Adm1). ",Flood,,16.0,118003.0
20,2022-09-15,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,
21,2022-09-15,Haiti,,,,,,,
22,2022-09-15,Burundi,,,,,,,
23,2022-09-15,Belgium,,,,,,,
24,2022-09-15,Bulgaria,,,,,,,
25,2022-09-15,Bosnia and Herzegovina,,,,,,,
26,2022-09-15,Belize,,,,,,,
27,2022-09-15,Bolivia (Plurinational State of),,,,,,,
28,2022-09-15,Canada,,,,,,,
29,2022-09-15,Cameroon,2022-06-26,2022-10-31,,Flood,15000.0,2.0,153095.0
30,2022-09-15,Cabo Verde,,,,,,,
31,2022-09-15,Dominican Republic (the),,,,,,,
32,2022-09-15,Algeria,,,,,,,
33,2022-09-15,Spain,,,,,,,
34,2022-09-15,France,,,,,,,
35,2022-09-15,Micronesia (Federated States of),,,,,,,
36,2022-09-15,Ghana,,,,,,,
37,2022-09-15,Guinea,,,,,,,
38,2022-09-15,Greece,,,,,,,
39,2022-09-15,Guatemala,,,,,,,
40,2022-09-15,Guyana,,,,,,,
41,2022-09-15,Croatia,,,,,,,
42,2022-09-15,Fiji,,,,,,,
43,2022-09-15,Ethiopia,,,,,,,
44,2022-09-15,Austria,,,,,,,
45,2022-09-15,Germany,,,,,,,
